"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-03-24T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-03-24T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",9.26,"provisorisch"
"2026-03-24T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.97,"provisorisch"
"2026-03-24T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.41,"provisorisch"
"2026-03-24T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-03-24T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",209.03,"provisorisch"
"2026-03-24T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",9.48,"provisorisch"
"2026-03-24T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",14.92,"provisorisch"
"2026-03-24T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.85,"provisorisch"
"2026-03-25T00:00+0100","Zch_Heubeeribüel","T","d1","°C",6.68,"provisorisch"
"2026-03-25T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",13.06,"provisorisch"
"2026-03-25T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",939.01,"provisorisch"
"2026-03-25T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",148.81,"provisorisch"
"2026-03-25T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",8.16,"provisorisch"
"2026-03-25T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",14.53,"provisorisch"
"2026-03-25T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",959.29,"provisorisch"
"2026-03-25T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",257.33,"provisorisch"
"2026-03-25T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.69,"provisorisch"
"2026-03-25T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.71,"provisorisch"
"2026-03-25T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",961.79,"provisorisch"
"2026-03-25T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",189.63,"provisorisch"
"2026-03-25T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",100.94,"provisorisch"
"2026-03-25T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.54,"provisorisch"
"2026-03-25T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",14.5,"provisorisch"
"2026-03-25T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.32,"provisorisch"
"2026-03-26T00:00+0100","Zch_Heubeeribüel","T","d1","°C",1.16,"provisorisch"
"2026-03-26T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",4.16,"provisorisch"
"2026-03-26T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",942.04,"provisorisch"
"2026-03-26T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",245.87,"provisorisch"
"2026-03-26T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.09,"provisorisch"
"2026-03-26T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.77,"provisorisch"
"2026-03-26T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",962.71,"provisorisch"
"2026-03-26T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",594.56,"provisorisch"
"2026-03-26T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.32,"provisorisch"
"2026-03-26T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.76,"provisorisch"
"2026-03-26T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",965.25,"provisorisch"
"2026-03-26T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",255.73,"provisorisch"
"2026-03-26T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",103.08,"provisorisch"
"2026-03-26T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.48,"provisorisch"
"2026-03-26T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.96,"provisorisch"
"2026-03-26T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.6,"provisorisch"
"2026-03-27T00:00+0100","Zch_Heubeeribüel","T","d1","°C",0.62,"provisorisch"
"2026-03-27T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",3.2,"provisorisch"
"2026-03-27T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",948.89,"provisorisch"
"2026-03-27T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-03-27T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.47,"provisorisch"
"2026-03-27T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.28,"provisorisch"
"2026-03-27T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.72,"provisorisch"
"2026-03-27T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",87.18,"provisorisch"
"2026-03-27T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.2,"provisorisch"
"2026-03-27T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.65,"provisorisch"
"2026-03-27T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.25,"provisorisch"
"2026-03-27T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-03-27T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",143.87,"provisorisch"
"2026-03-27T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.11,"provisorisch"
"2026-03-27T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.71,"provisorisch"
"2026-03-27T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.66,"provisorisch"
"2026-03-28T00:00+0100","Zch_Heubeeribüel","T","d1","°C",1.23,"provisorisch"
"2026-03-28T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",6.14,"provisorisch"
"2026-03-28T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",948.93,"provisorisch"
"2026-03-28T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",437.02,"provisorisch"
"2026-03-28T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.59,"provisorisch"
"2026-03-28T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.42,"provisorisch"
"2026-03-28T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.73,"provisorisch"
"2026-03-28T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",470.25,"provisorisch"
"2026-03-28T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.46,"provisorisch"
"2026-03-28T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.13,"provisorisch"
"2026-03-28T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.26,"provisorisch"
"2026-03-28T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",469.35,"provisorisch"
